'-skip-logged'	'Download -skip-logged failed: '
'Coherence'	'OK!'
'Colors'	"Download Colors failed: Download error for http://gene.tn.nic.in/~km/downloads/Colors-0.1.tar.gz: (110, 'Connection timed out')"
'Colubrid'	'OK!'
'ComicsReader'	'Download ComicsReader failed: None'
'Comix'	'Download Comix failed: None'
'CommandLineApp'	'OK!'
'CommonsPictureOfTheDay'	'Download CommonsPictureOfTheDay failed: None'
'ConceptNet: A Practical Commonsense Reasoning Toolkit'	'Invalid name: None'
'Conch'	'Download Conch failed: None'
'ConcurrentLogHandler'	'OK!'
'ConfigAdministrator'	'Get package args failed: ImportError: No module named turbogears.finddata'
'ConfigObj'	'OK!'
'ConsoleFormat'	'OK!'
'Context'	'Download Context failed: None'
'Contextual'	'OK!'
'CoordSys'	'OK!'
'CoreBio'	'OK!'
'Corotwine'	'Download Corotwine failed: None'
'CouchDB'	'OK!'
'CoverArt'	'Download CoverArt failed: None'
'Creoleparser'	'OK!'
'Cryha'	'OK!'
'Custom Interactive Console'	'Invalid name: None'
'Cython'	'OK!'
'DAG'	'OK!'
'DAXFi'	'OK!'
'DBSprockets'	'OK!'
'DBUtils'	'OK!'
'DITrack'	'OK!'
'DLNetSNMP'	"Download DLNetSNMP failed: Can't download http://www.dlevel.com/products/opensource/files/DLNetSNMP-0.4.1.tar.gz: 404 Not Found"
'DOMForm'	'OK!'
'DOMinclude'	'Get package args failed: ImportError: No module named turbogears.finddata'
'DXF-Converter'	'Download DXF-Converter failed: None'
'Dabo'	'OK!'
'Dabo Framework'	'Invalid name: None'
'Dabo Runtime Engine For Windows'	'Invalid name: None'
'Dandelion'	'Download Dandelion failed: None'
'DateTime'	'OK!'
'Daycos'	'OK!'
'DebLib'	'OK!'
'DecoratorTools'	'OK!'
'Dee'	'Download Dee failed: None'
'DeferArgs'	'OK!'
'Dejavu'	'OK!'
'DeliciousAPI'	'OK!'
'Deliverance'	'OK!'
'Delny'	'OK!'
'DeployTools'	'Download DeployTools failed: None'
'Descriptive Markup Toolkit'	'Invalid name: None'
'Detextile'	'OK!'
'Dex Tracker'	'Invalid name: None'
'Diagnil'	'Unpack Diagnil failed: Unsupported archive type'
'Dice3DS'	'OK!'
'Dict4Ini'	'OK!'
'Dijkstar'	'OK!'
'Directicus'	'OK!'
'DirectoryQueue'	'Download DirectoryQueue failed: None'
'DirectoryQueueService'	'Download DirectoryQueueService failed: None'
'DirectoryStorage'	'Download DirectoryStorage failed: None'
'DirsSync'	'Download DirsSync failed: None'
'DisplayShelf'	'Get package args failed: ImportError: No module named turbogears.finddata'
'Distutils'	'Download Distutils failed: None'
'DivDialogs'	'Get package args failed: ImportError: No module named turbogears.finddata'
'Divmod Prime'	'Invalid name: None'
'Divmod Quotient'	'Invalid name: None'
'Divmod Reverend'	'Invalid name: None'
'Django'	'Download Django failed: None'
'Django096'	'Download Django096 failed: None'
'DjangoPaste'	'Download DjangoPaste failed: None'
'Djblets'	'Download Djblets failed: None'
'DoDoStorage'	'OK!'
'DoapViewPlugin'	'Download DoapViewPlugin failed: '
'DomainFinder'	'Download DomainFinder failed: None'
'Dozer'	'OK!'
'DsaCheck'	'OK!'
'DsaLib'	'OK!'
'Dt63'	'OK!'
'DuckyLib'	'Download DuckyLib failed: None'
'Dulcinea'	'Get package args failed: '
'Durus'	'OK!'
'DyBASE'	'Unpack DyBASE failed: Unsupported archive type'
'EDDIE-Tool'	'Download EDDIE-Tool failed: None'
'EMpy -- ElectroMagnetic Python'	'Invalid name: None'
'ETS'	'OK!'
'ETSDevTools'	'Get package args failed: ImportError: No module named numpy.distutils.core'
'ETSProjectTools'	'OK!'
'EUtils'	'OK!'
'EaseXML'	'OK!'
'Easy Jabber XML-RPC'	'Invalid name: None'
'EasyDialogs for Windows'	'Invalid name: None'
'EasyExtend'	'Download EasyExtend failed: None'
'EasyGuider'	'Download EasyGuider failed: None'
'EatLint'	'OK!'
'EccoDDE'	'OK!'
'Editor Anafora'	'Invalid name: None'
'Editra'	'OK!'
'EggBasket'	'Get package args failed: ImportError: No module named turbogears.finddata'
'EggFreezer'	'OK!'
'EggsHelper'	'Download EggsHelper failed: None'
'ElementSoup'	'Download ElementSoup failed: None'
'Elements'	'OK!'
'Elixir'	'OK!'
'ElvinRRD'	'OK!'
'EmPy'	'pkgsys.setup_args failed: Unrecognized license: %LICENSE'
'Enable'	'Get package args failed: ImportError: No module named numpy.distutils.core'
'Endgame Singularity'	'Invalid name: None'
'Endgame: Singularity'	'Invalid name: None'
'Enstag'	'OK!'
'EnthoughtBase'	'OK!'
'EnvisageCore'	'OK!'
'EnvisagePlugins'	'OK!'
'Epsilon'	'Get package args failed: ImportError: No module named twisted.python'
'Esrapy'	'Download Esrapy failed: None'
'EuroPython2006-PyQt4-Examples'	'OK!'
'Evennia MUD Server'	'Invalid name: None'
'ExtSession'	'OK!'
'Extended Python Debugger'	'Invalid name: None'
'ExtensionClass'	'OK!'
'Extractor'	'OK!'
'Extremes'	'OK!'
'F2PY'	'OK!'
'FIAT'	'OK!'
'FPyS'	'OK!'
'FSA'	'OK!'
'FTP pocetnik'	'Invalid name: None'
'Fabric'	'OK!'
'FarPy GUIE'	'Invalid name: None'
'Fast Track'	'Invalid name: None'
'FauxIdent'	"process failed: Invalid package name: 'dev-python/fauxident-_alpha'"
'FeatureServer'	'OK!'
'FeedParser'	'OK!'
'FelloWiki'	'Download FelloWiki failed: Unexpected HTML page found at http://prdownload.berlios.de/fellowiki/FelloWiki-0.01a1.dev-r36.zip'
'FiPy'	'Download FiPy failed: None'
'FibraNet'	'OK!'
'FileCatalog'	'OK!'
